ID,Request.id,Pickup.point,Driver.id,Status,Request.timestamp,Drop.timestamp,Duration,Interval,req_day,req_hour,req_day0fWeek,drop_day,drop_hour
22,2083,Airport,3,Trip Completed,7/12/2016 15:46,7/12/2016 16:40,54,Mid-Day,12,15,Tuesday,12,16
23,2211,Airport,3,Trip Completed,7/12/2016 18:00,7/12/2016 18:28,28,Evening,12,18,Tuesday,12,18
24,3096,Airport,3,Trip Completed,7/13/2016 8:17,7/13/2016 9:22,65,Early-Day,13,8,Wednesday,13,9
25,3881,Airport,3,Trip Completed,7/13/2016 21:54,7/13/2016 22:51,57,Evening,13,21,Wednesday,13,22
26,5254,City,3,Trip Completed,7/14/2016 21:23,7/14/2016 22:25,62,Evening,14,21,Thursday,14,22
27,5434,City,3,Trip Completed,7/15/2016 2:41,7/15/2016 3:24,43,Midnight,15,2,Friday,15,3
28,5916,City,3,Trip Completed,7/15/2016 10:00,7/15/2016 10:53,52,Mid-Day,15,10,Friday,15,10
29,669,City,4,Trip Completed,7/11/2016 13:08,7/11/2016 13:49,41,Mid-Day,11,13,Monday,11,13
30,1567,Airport,4,Trip Completed,7/12/2016 6:21,7/12/2016 7:10,49,Early-Day,12,6,Tuesday,12,7
31,1826,City,4,Trip Completed,7/12/2016 9:27,7/12/2016 10:27,60,Early-Day,12,9,Tuesday,12,10
32,2102,City,4,Trip Completed,7/12/2016 16:09,7/12/2016 17:01,52,Mid-Day,12,16,Tuesday,12,17
33,2847,Airport,4,Trip Completed,7/13/2016 5:34,7/13/2016 6:09,36,Early-Day,13,5,Wednesday,13,6
34,3722,Airport,4,Trip Completed,7/13/2016 19:57,7/13/2016 20:32,34,Evening,13,19,Wednesday,13,20
35,4075,City,4,Trip Completed,7/14/2016 2:17,7/14/2016 3:21,64,Midnight,14,2,Thursday,14,3
36,4686,City,4,Trip Completed,7/14/2016 13:01,7/14/2016 13:45,44,Mid-Day,14,13,Thursday,14,13
37,5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,67,Early-Day,15,8,Friday,15,9
38,6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,46,Mid-Day,15,15,Friday,15,15
39,312,City,5,Trip Completed,7/11/2016 7:27,7/11/2016 8:31,64,Early-Day,11,7,Monday,11,8
40,577,Airport,5,Trip Completed,7/11/2016 11:03,7/11/2016 12:01,58,Mid-Day,11,11,Monday,11,12
41,1179,City,5,Trip Completed,7/11/2016 20:58,7/11/2016 21:45,47,Evening,11,20,Monday,11,21
42,1756,Airport,5,Trip Completed,7/12/2016 8:40,7/12/2016 9:23,43,Early-Day,12,8,Tuesday,12,9
43,2052,City,5,Trip Completed,7/12/2016 14:48,7/12/2016 15:50,62,Mid-Day,12,14,Tuesday,12,15
44,2559,City,5,Trip Completed,7/12/2016 21:32,7/12/2016 22:29,57,Evening,12,21,Tuesday,12,22
45,3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,62,Early-Day,13,7,Wednesday,13,8
46,3317,City,5,Trip Completed,7/13/2016 12:14,7/13/2016 12:46,32,Mid-Day,13,12,Wednesday,13,12
47,4297,City,5,Trip Completed,7/14/2016 6:43,7/14/2016 7:49,67,Early-Day,14,6,Thursday,14,7
48,5857,Airport,5,Trip Completed,7/15/2016 9:08,7/15/2016 10:07,58,Early-Day,15,9,Friday,15,10
49,6690,Airport,5,Trip Completed,7/15/2016 22:41,7/15/2016 23:51,69,Evening,15,22,Friday,15,23
50,1517,Airport,6,Trip Completed,7/12/2016 5:45,7/12/2016 6:28,43,Early-Day,12,5,Tuesday,12,6
51,1999,Airport,6,Trip Completed,7/12/2016 13:02,7/12/2016 13:51,49,Mid-Day,12,13,Tuesday,12,13
52,2960,Airport,6,Trip Completed,7/13/2016 6:50,7/13/2016 7:40,50,Early-Day,13,6,Wednesday,13,7
53,3882,City,6,Trip Completed,7/13/2016 21:53,7/13/2016 22:45,52,Evening,13,21,Wednesday,13,22
54,4081,Airport,6,Trip Completed,7/14/2016 2:37,7/14/2016 3:30,53,Midnight,14,2,Thursday,14,3
55,4740,City,6,Trip Completed,7/14/2016 14:50,7/14/2016 15:38,48,Mid-Day,14,14,Thursday,14,15
56,5270,City,6,Trip Completed,7/14/2016 21:33,7/14/2016 22:25,52,Evening,14,21,Thursday,14,22
57,6758,Airport,6,Trip Completed,7/15/2016 0:03,7/15/2016 1:07,64,Midnight,15,0,Friday,15,1
58,5741,City,6,Trip Completed,7/15/2016 7:52,7/15/2016 8:38,46,Early-Day,15,7,Friday,15,8
59,6087,Airport,6,Trip Completed,7/15/2016 14:28,7/15/2016 15:33,65,Mid-Day,15,14,Friday,15,15
60,1039,City,7,Trip Completed,7/11/2016 19:31,7/11/2016 20:41,70,Evening,11,19,Monday,11,20
61,1273,Airport,7,Trip Completed,7/11/2016 22:07,7/11/2016 23:12,65,Evening,11,22,Monday,11,23
62,2480,City,7,Trip Completed,7/12/2016 20:39,7/12/2016 21:28,49,Evening,12,20,Tuesday,12,21
63,4105,City,7,Trip Completed,7/14/2016 3:39,7/14/2016 4:39,59,Midnight,14,3,Thursday,14,4
64,4509,City,7,Trip Completed,7/14/2016 9:11,7/14/2016 10:17,66,Early-Day,14,9,Thursday,14,10
65,4986,Airport,7,Trip Completed,7/14/2016 18:52,7/14/2016 19:50,58,Evening,14,18,Thursday,14,19
66,5898,City,7,Trip Completed,7/15/2016 9:50,7/15/2016 10:40,50,Early-Day,15,9,Friday,15,10
67,6142,Airport,7,Trip Completed,7/15/2016 15:50,7/15/2016 16:36,47,Mid-Day,15,15,Friday,15,16
68,380,Airport,8,Trip Completed,7/11/2016 8:18,7/11/2016 9:18,60,Early-Day,11,8,Monday,11,9
69,1050,Airport,8,Trip Completed,7/11/2016 19:39,7/11/2016 20:30,51,Evening,11,19,Monday,11,20
70,1769,City,8,Trip Completed,7/12/2016 8:57,7/12/2016 9:24,27,Early-Day,12,8,Tuesday,12,9
71,2520,City,8,Trip Completed,7/12/2016 21:05,7/12/2016 22:20,75,Evening,12,21,Tuesday,12,22
72,3265,Airport,8,Trip Completed,7/13/2016 10:22,7/13/2016 11:07,45,Mid-Day,13,10,Wednesday,13,11
73,4648,City,8,Trip Completed,7/14/2016 11:55,7/14/2016 12:59,64,Mid-Day,14,11,Thursday,14,12
74,449,Airport,9,Trip Completed,7/11/2016 9:08,7/11/2016 9:52,44,Early-Day,11,9,Monday,11,9
75,846,Airport,9,Trip Completed,7/11/2016 17:46,7/11/2016 18:52,66,Evening,11,17,Monday,11,18
76,1346,Airport,9,Trip Completed,7/11/2016 23:39,7/12/2016 0:23,44,Evening,11,23,Monday,12,0
77,1474,Airport,9,Trip Completed,7/12/2016 5:13,7/12/2016 5:56,43,Early-Day,12,5,Tuesday,12,5
78,2240,City,9,Trip Completed,7/12/2016 18:20,7/12/2016 18:54,34,Evening,12,18,Tuesday,12,18
79,3072,Airport,9,Trip Completed,7/13/2016 8:04,7/13/2016 8:36,32,Early-Day,13,8,Wednesday,13,8
80,3459,Airport,9,Trip Completed,7/13/2016 17:03,7/13/2016 17:31,28,Evening,13,17,Wednesday,13,17
81,3774,Airport,9,Trip Completed,7/13/2016 20:41,7/13/2016 21:27,46,Evening,13,20,Wednesday,13,21
82,4023,City,9,Trip Completed,7/13/2016 23:58,7/14/2016 0:58,60,Evening,13,23,Wednesday,14,0
83,4117,City,9,Trip Completed,7/14/2016 4:21,7/14/2016 5:07,45,Midnight,14,4,Thursday,14,5
84,4880,Airport,9,Trip Completed,7/14/2016 17:58,7/14/2016 19:02,64,Evening,14,17,Thursday,14,19
85,5568,Airport,9,Trip Completed,7/15/2016 5:47,7/15/2016 6:25,38,Early-Day,15,5,Friday,15,6
86,5994,Airport,9,Trip Completed,7/15/2016 11:51,7/15/2016 12:32,41,Mid-Day,15,11,Friday,15,12
87,1809,Airport,10,Trip Completed,7/12/2016 9:13,7/12/2016 10:01,48,Early-Day,12,9,Tuesday,12,10
88,2064,Airport,10,Trip Completed,7/12/2016 15:08,7/12/2016 16:14,66,Mid-Day,12,15,Tuesday,12,16
89,3210,City,10,Trip Completed,7/13/2016 9:47,7/13/2016 10:52,66,Early-Day,13,9,Wednesday,13,10
90,4350,City,10,Trip Completed,7/14/2016 7:24,7/14/2016 8:22,57,Early-Day,14,7,Thursday,14,8
91,4713,City,10,Trip Completed,7/14/2016 13:31,7/14/2016 14:10,40,Mid-Day,14,13,Thursday,14,14
92,5629,Airport,10,Trip Completed,7/15/2016 6:33,7/15/2016 7:19,47,Early-Day,15,6,Friday,15,7
93,6157,Airport,10,Trip Completed,7/15/2016 16:32,7/15/2016 17:44,72,Mid-Day,15,16,Friday,15,17
94,2030,City,11,Trip Completed,7/12/2016 14:11,7/12/2016 15:02,51,Mid-Day,12,14,Tuesday,12,15
95,3226,City,11,Trip Completed,7/13/2016 10:00,7/13/2016 11:02,63,Mid-Day,13,10,Wednesday,13,11
96,3353,City,11,Trip Completed,7/13/2016 13:29,7/13/2016 14:09,39,Mid-Day,13,13,Wednesday,13,14
97,4293,City,11,Trip Completed,7/14/2016 6:42,7/14/2016 7:12,30,Early-Day,14,6,Thursday,14,7
98,4936,City,11,Trip Completed,7/14/2016 18:22,7/14/2016 19:14,52,Evening,14,18,Thursday,14,19
99,5661,Airport,11,Trip Completed,7/15/2016 7:08,7/15/2016 7:59,50,Early-Day,15,7,Friday,15,7
100,5778,City,11,Trip Completed,7/15/2016 8:22,7/15/2016 9:13,51,Early-Day,15,8,Friday,15,9
101,6425,Airport,11,Trip Completed,7/15/2016 19:46,7/15/2016 20:26,40,Evening,15,19,Friday,15,20
102,45,Airport,12,Trip Completed,7/11/2016 3:17,7/11/2016 4:09,52,Midnight,11,3,Monday,11,4
103,264,City,12,Trip Completed,7/11/2016 6:51,7/11/2016 7:40,49,Early-Day,11,6,Monday,11,7
104,1183,City,12,Trip Completed,7/11/2016 21:05,7/11/2016 21:38,33,Evening,11,21,Monday,11,21
105,1536,Airport,12,Trip Completed,7/12/2016 5:59,7/12/2016 6:59,60,Early-Day,12,5,Tuesday,12,6
106,2437,City,12,Trip Completed,7/12/2016 20:18,7/12/2016 21:26,68,Evening,12,20,Tuesday,12,21
107,2641,Airport,12,Trip Completed,7/12/2016 22:28,7/12/2016 23:05,37,Evening,12,22,Tuesday,12,23
108,4077,Airport,12,Trip Completed,7/14/2016 2:14,7/14/2016 3:13,59,Midnight,14,2,Thursday,14,3
109,4610,City,12,Trip Completed,7/14/2016 10:35,7/14/2016 11:39,64,Mid-Day,14,10,Thursday,14,11
110,5066,Airport,12,Trip Completed,7/14/2016 19:31,7/14/2016 20:14,43,Evening,14,19,Thursday,14,20
111,5666,Airport,12,Trip Completed,7/15/2016 7:04,7/15/2016 8:12,68,Early-Day,15,7,Friday,15,8
112,5923,City,12,Trip Completed,7/15/2016 10:07,7/15/2016 10:50,43,Mid-Day,15,10,Friday,15,10
113,6367,City,12,Trip Completed,7/15/2016 19:04,7/15/2016 19:46,41,Evening,15,19,Friday,15,19
114,155,City,13,Trip Completed,7/11/2016 5:32,7/11/2016 6:28,56,Early-Day,11,5,Monday,11,6
115,310,Airport,13,Trip Completed,7/11/2016 7:24,7/11/2016 8:28,64,Early-Day,11,7,Monday,11,8
116,607,City,13,Trip Completed,7/11/2016 11:51,7/11/2016 12:42,51,Mid-Day,11,11,Monday,11,12
117,1012,City,13,Trip Completed,7/11/2016 19:15,7/11/2016 19:57,42,Evening,11,19,Monday,11,19
118,1696,Airport,13,Trip Completed,7/12/2016 8:01,7/12/2016 8:42,41,Early-Day,12,8,Tuesday,12,8
119,3076,City,13,Trip Completed,7/13/2016 8:09,7/13/2016 9:12,63,Early-Day,13,8,Wednesday,13,9
120,4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,73,Early-Day,14,5,Thursday,14,6
121,4627,City,13,Trip Completed,7/14/2016 11:13,7/14/2016 12:00,47,Mid-Day,14,11,Thursday,14,12
122,5289,City,13,Trip Completed,7/14/2016 21:43,7/14/2016 22:24,41,Evening,14,21,Thursday,14,22
123,5495,Airport,13,Trip Completed,7/15/2016 5:00,7/15/2016 6:02,62,Early-Day,15,5,Friday,15,6
124,6656,Airport,13,Trip Completed,7/15/2016 22:08,7/15/2016 22:41,33,Evening,15,22,Friday,15,22
125,139,Airport,14,Trip Completed,7/11/2016 5:21,7/11/2016 6:09,48,Early-Day,11,5,Monday,11,6
126,215,City,14,Trip Completed,7/11/2016 6:15,7/11/2016 7:07,52,Early-Day,11,6,Monday,11,7
127,1816,City,14,Trip Completed,7/12/2016 9:24,7/12/2016 10:07,43,Early-Day,12,9,Tuesday,12,10
128,2505,Airport,14,Trip Completed,7/12/2016 21:03,7/12/2016 22:14,71,Evening,12,21,Tuesday,12,22
129,3346,City,14,Trip Completed,7/13/2016 13:01,7/13/2016 13:55,54,Mid-Day,13,13,Wednesday,13,13
130,5294,City,14,Trip Completed,7/14/2016 21:45,7/14/2016 22:16,31,Evening,14,21,Thursday,14,22
131,6226,Airport,14,Trip Completed,7/15/2016 17:34,7/15/2016 18:33,59,Evening,15,17,Friday,15,18
132,6733,Airport,14,Trip Completed,7/15/2016 23:32,7/16/2016 0:37,65,Evening,15,23,Friday,16,0
133,1027,Airport,15,Trip Completed,7/11/2016 19:18,7/11/2016 20:24,66,Evening,11,19,Monday,11,20
134,2675,Airport,15,Trip Completed,7/12/2016 23:43,7/13/2016 0:35,52,Evening,12,23,Tuesday,13,0
135,3200,City,15,Trip Completed,7/13/2016 9:39,7/13/2016 10:30,51,Early-Day,13,9,Wednesday,13,10
136,3865,City,15,Trip Completed,7/13/2016 21:52,7/13/2016 22:21,29,Evening,13,21,Wednesday,13,22
137,4468,City,15,Trip Completed,7/14/2016 8:42,7/14/2016 9:22,39,Early-Day,14,8,Thursday,14,9
138,5163,Airport,15,Trip Completed,7/14/2016 20:34,7/14/2016 21:05,31,Evening,14,20,Thursday,14,21
139,6009,City,15,Trip Completed,7/15/2016 12:22,7/15/2016 13:25,63,Mid-Day,15,12,Friday,15,13
140,6448,Airport,15,Trip Completed,7/15/2016 20:02,7/15/2016 20:40,38,Evening,15,20,Friday,15,20
141,591,City,16,Trip Completed,7/11/2016 11:25,7/11/2016 12:31,66,Mid-Day,11,11,Monday,11,12
142,709,City,16,Trip Completed,7/11/2016 14:16,7/11/2016 15:03,47,Mid-Day,11,14,Monday,11,15
143,1167,Airport,16,Trip Completed,7/11/2016 20:50,7/11/2016 21:52,62,Evening,11,20,Monday,11,21
144,2661,Airport,16,Trip Completed,7/12/2016 23:23,7/13/2016 0:27,64,Evening,12,23,Tuesday,13,0
145,2808,City,16,Trip Completed,7/13/2016 5:05,7/13/2016 5:56,51,Early-Day,13,5,Wednesday,13,5
146,3258,Airport,16,Trip Completed,7/13/2016 10:12,7/13/2016 10:45,33,Mid-Day,13,10,Wednesday,13,10
147,3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,74,Mid-Day,13,15,Wednesday,13,16
148,3939,Airport,16,Trip Completed,7/13/2016 22:26,7/13/2016 22:55,29,Evening,13,22,Wednesday,13,22
149,4125,City,16,Trip Completed,7/14/2016 4:37,7/14/2016 5:46,69,Midnight,14,4,Thursday,14,5
150,4457,City,16,Trip Completed,7/14/2016 8:36,7/14/2016 9:19,43,Early-Day,14,8,Thursday,14,9
151,4728,City,16,Trip Completed,7/14/2016 14:04,7/14/2016 15:06,62,Mid-Day,14,14,Thursday,14,15
152,5347,Airport,16,Trip Completed,7/14/2016 22:51,7/14/2016 23:53,62,Evening,14,22,Thursday,14,23
153,6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,79,Mid-Day,15,16,Friday,15,17
154,6496,Airport,16,Trip Completed,7/15/2016 20:33,7/15/2016 21:32,60,Evening,15,20,Friday,15,21
155,634,City,17,Trip Completed,7/11/2016 12:25,7/11/2016 13:06,41,Mid-Day,11,12,Monday,11,13
156,939,Airport,17,Trip Completed,7/11/2016 18:25,7/11/2016 19:26,61,Evening,11,18,Monday,11,19
157,2628,Airport,17,Trip Completed,7/12/2016 22:10,7/12/2016 23:25,75,Evening,12,22,Tuesday,12,23
158,3021,City,17,Trip Completed,7/13/2016 7:33,7/13/2016 8:26,53,Early-Day,13,7,Wednesday,13,8
159,4743,City,17,Trip Completed,7/14/2016 14:54,7/14/2016 15:39,45,Mid-Day,14,14,Thursday,14,15
160,4981,City,17,Trip Completed,7/14/2016 18:47,7/14/2016 19:43,56,Evening,14,18,Thursday,14,19
161,5367,Airport,17,Trip Completed,7/14/2016 23:35,7/15/2016 0:25,50,Evening,14,23,Thursday,15,0
162,5471,Airport,17,Trip Completed,7/15/2016 4:48,7/15/2016 5:47,58,Midnight,15,4,Friday,15,5
163,5988,Airport,17,Trip Completed,7/15/2016 11:48,7/15/2016 12:55,66,Mid-Day,15,11,Friday,15,12
164,6477,Airport,17,Trip Completed,7/15/2016 20:21,7/15/2016 21:00,39,Evening,15,20,Friday,15,21
165,499,City,18,Trip Completed,7/11/2016 9:39,7/11/2016 10:16,37,Early-Day,11,9,Monday,11,10
166,1147,Airport,18,Trip Completed,7/11/2016 20:42,7/11/2016 21:18,36,Evening,11,20,Monday,11,21
167,1410,Airport,18,Trip Completed,7/12/2016 3:14,7/12/2016 4:27,73,Midnight,12,3,Tuesday,12,4
168,1804,Airport,18,Trip Completed,7/12/2016 9:12,7/12/2016 9:57,45,Early-Day,12,9,Tuesday,12,9
169,1949,Airport,18,Trip Completed,7/12/2016 11:32,7/12/2016 12:13,41,Mid-Day,12,11,Tuesday,12,12
170,2713,City,18,Trip Completed,7/13/2016 1:46,7/13/2016 2:37,50,Midnight,13,1,Wednesday,13,2
171,2845,City,18,Trip Completed,7/13/2016 5:28,7/13/2016 6:10,42,Early-Day,13,5,Wednesday,13,6
172,3943,Airport,18,Trip Completed,7/13/2016 22:35,7/13/2016 23:33,58,Evening,13,22,Wednesday,13,23
173,4792,City,18,Trip Completed,7/14/2016 16:47,7/14/2016 17:34,47,Mid-Day,14,16,Thursday,14,17
174,5207,Airport,18,Trip Completed,7/14/2016 20:57,7/14/2016 21:56,59,Evening,14,20,Thursday,14,21
175,5890,City,18,Trip Completed,7/15/2016 9:43,7/15/2016 10:55,71,Early-Day,15,9,Friday,15,10
176,494,City,19,Trip Completed,7/11/2016 9:36,7/11/2016 10:02,26,Early-Day,11,9,Monday,11,10
177,1485,City,19,Trip Completed,7/12/2016 5:21,7/12/2016 6:35,74,Early-Day,12,5,Tuesday,12,6
178,2042,City,19,Trip Completed,7/12/2016 14:30,7/12/2016 15:09,39,Mid-Day,12,14,Tuesday,12,15
179,2561,Airport,19,Trip Completed,7/12/2016 21:29,7/12/2016 22:44,75,Evening,12,21,Tuesday,12,22
180,3813,Airport,19,Trip Completed,7/13/2016 21:06,7/13/2016 21:46,39,Evening,13,21,Wednesday,13,21
181,4260,Airport,19,Trip Completed,7/14/2016 6:11,7/14/2016 6:59,48,Early-Day,14,6,Thursday,14,6
182,4395,City,19,Trip Completed,7/14/2016 8:00,7/14/2016 8:54,54,Early-Day,14,8,Thursday,14,8
183,5919,City,19,Trip Completed,7/15/2016 10:03,7/15/2016 10:59,56,Mid-Day,15,10,Friday,15,10
184,6002,Airport,19,Trip Completed,7/15/2016 12:04,7/15/2016 12:53,49,Mid-Day,15,12,Friday,15,12
185,468,City,20,Trip Completed,7/11/2016 9:20,7/11/2016 10:05,45,Early-Day,11,9,Monday,11,10
186,693,Airport,20,Trip Completed,7/11/2016 13:51,7/11/2016 15:01,70,Mid-Day,11,13,Monday,11,15
187,1178,City,20,Trip Completed,7/11/2016 21:05,7/11/2016 22:06,61,Evening,11,21,Monday,11,22
188,2103,City,20,Trip Completed,7/12/2016 16:08,7/12/2016 17:18,70,Mid-Day,12,16,Tuesday,12,17
189,2292,Airport,20,Trip Completed,7/12/2016 18:46,7/12/2016 19:23,37,Evening,12,18,Tuesday,12,19
190,3339,City,20,Trip Completed,7/13/2016 12:40,7/13/2016 13:30,49,Mid-Day,13,12,Wednesday,13,13
191,3694,City,20,Trip Completed,7/13/2016 19:33,7/13/2016 20:35,62,Evening,13,19,Wednesday,13,20
192,4469,City,20,Trip Completed,7/14/2016 8:45,7/14/2016 9:48,63,Early-Day,14,8,Thursday,14,9
193,6432,City,20,Trip Completed,7/15/2016 19:50,7/15/2016 20:30,39,Evening,15,19,Friday,15,20
194,1895,City,21,Trip Completed,7/12/2016 10:20,7/12/2016 10:52,32,Mid-Day,12,10,Tuesday,12,10
195,1981,Airport,21,Trip Completed,7/12/2016 12:23,7/12/2016 12:56,33,Mid-Day,12,12,Tuesday,12,12
196,3744,Airport,21,Trip Completed,7/13/2016 20:28,7/13/2016 21:22,55,Evening,13,20,Wednesday,13,21
197,4433,Airport,21,Trip Completed,7/14/2016 8:26,7/14/2016 9:12,46,Early-Day,14,8,Thursday,14,9
198,6039,Airport,21,Trip Completed,7/15/2016 13:11,7/15/2016 13:38,27,Mid-Day,15,13,Friday,15,13
199,6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,78,Evening,15,20,Friday,15,22
200,110,City,22,Trip Completed,7/11/2016 5:05,7/11/2016 6:06,61,Early-Day,11,5,Monday,11,6
201,362,City,22,Trip Completed,7/11/2016 8:01,7/11/2016 9:18,77,Early-Day,11,8,Monday,11,9
202,666,Airport,22,Trip Completed,7/11/2016 13:02,7/11/2016 13:45,43,Mid-Day,11,13,Monday,11,13
203,926,City,22,Trip Completed,7/11/2016 18:28,7/11/2016 19:34,66,Evening,11,18,Monday,11,19
204,1180,Airport,22,Trip Completed,7/11/2016 21:01,7/11/2016 22:14,73,Evening,11,21,Monday,11,22
205,1900,City,22,Trip Completed,7/12/2016 10:32,7/12/2016 11:42,70,Mid-Day,12,10,Tuesday,12,11
206,2506,City,22,Trip Completed,7/12/2016 21:01,7/12/2016 21:38,37,Evening,12,21,Tuesday,12,21
207,3064,City,22,Trip Completed,7/13/2016 8:02,7/13/2016 8:58,57,Early-Day,13,8,Wednesday,13,8
208,3327,Airport,22,Trip Completed,7/13/2016 12:24,7/13/2016 13:23,59,Mid-Day,13,12,Wednesday,13,13
209,3601,City,22,Trip Completed,7/13/2016 18:39,7/13/2016 19:29,50,Evening,13,18,Wednesday,13,19
210,4768,Airport,22,Trip Completed,7/14/2016 15:39,7/14/2016 16:49,70,Mid-Day,14,15,Thursday,14,16
211,5142,City,22,Trip Completed,7/14/2016 20:17,7/14/2016 20:48,31,Evening,14,20,Thursday,14,20
212,5366,Airport,22,Trip Completed,7/14/2016 23:27,7/15/2016 0:19,52,Evening,14,23,Thursday,15,0
213,5575,City,22,Trip Completed,7/15/2016 5:53,7/15/2016 6:50,56,Early-Day,15,5,Friday,15,6
214,5902,City,22,Trip Completed,7/15/2016 9:52,7/15/2016 10:37,44,Early-Day,15,9,Friday,15,10
215,6694,Airport,22,Trip Completed,7/15/2016 22:45,7/15/2016 23:17,32,Evening,15,22,Friday,15,23
216,523,Airport,23,Trip Completed,7/11/2016 9:48,7/11/2016 10:37,49,Early-Day,11,9,Monday,11,10
217,747,City,23,Trip Completed,7/11/2016 15:53,7/11/2016 16:43,50,Mid-Day,11,15,Monday,11,16
218,1371,Airport,23,Trip Completed,7/12/2016 0:22,7/12/2016 1:33,71,Midnight,12,0,Tuesday,12,1
219,1553,City,23,Trip Completed,7/12/2016 6:09,7/12/2016 7:09,60,Early-Day,12,6,Tuesday,12,7
220,1692,Airport,23,Trip Completed,7/12/2016 7:52,7/12/2016 9:01,69,Early-Day,12,7,Tuesday,12,9
221,2114,City,23,Trip Completed,7/12/2016 16:36,7/12/2016 17:21,45,Mid-Day,12,16,Tuesday,12,17
222,2742,City,23,Trip Completed,7/13/2016 3:07,7/13/2016 3:51,44,Midnight,13,3,Wednesday,13,3
223,4273,City,23,Trip Completed,7/14/2016 6:17,7/14/2016 7:02,45,Early-Day,14,6,Thursday,14,7
224,4668,City,23,Trip Completed,7/14/2016 12:25,7/14/2016 13:34,70,Mid-Day,14,12,Thursday,14,13
225,5425,City,23,Trip Completed,7/15/2016 2:23,7/15/2016 3:08,45,Midnight,15,2,Friday,15,3
226,5488,City,23,Trip Completed,7/15/2016 4:53,7/15/2016 6:00,67,Midnight,15,4,Friday,15,6
227,5781,City,23,Trip Completed,7/15/2016 8:35,7/15/2016 9:42,67,Early-Day,15,8,Friday,15,9
228,5966,Airport,23,Trip Completed,7/15/2016 10:54,7/15/2016 11:58,64,Mid-Day,15,10,Friday,15,11
229,6122,City,23,Trip Completed,7/15/2016 15:26,7/15/2016 16:29,64,Mid-Day,15,15,Friday,15,16
230,357,Airport,24,Trip Completed,7/11/2016 8:00,7/11/2016 9:08,68,Early-Day,11,8,Monday,11,9
231,1068,City,24,Trip Completed,7/11/2016 19:52,7/11/2016 20:48,56,Evening,11,19,Monday,11,20
232,2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,75,Midnight,13,0,Wednesday,13,1
233,2791,City,24,Trip Completed,7/13/2016 4:56,7/13/2016 5:33,37,Midnight,13,4,Wednesday,13,5
